,0
LiabilitiesAndStockholdersEquity,37
StockholdersEquity,36
Assets,36
PropertyPlantAndEquipmentNet,35
CashAndCashEquivalentsAtCarryingValue,34
CommonStockValue,33
RetainedEarningsAccumulatedDeficit,33
AccumulatedOtherComprehensiveIncomeLossNetOfTax,32
AssetsCurrent,31
LiabilitiesCurrent,31
OtherAssetsNoncurrent,30
Goodwill,28
AccountsPayableCurrent,26
OtherLiabilitiesNoncurrent,24
Liabilities,24
AccountsReceivableNetCurrent,23
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,21
TreasuryStockValue,20
MinorityInterest,19
InventoryNet,18
LongTermDebtNoncurrent,18
IntangibleAssetsNetExcludingGoodwill,18
AdditionalPaidInCapitalCommonStock,17
OtherAssetsCurrent,16
PreferredStockValue,15
OtherLiabilitiesCurrent,13
AccruedLiabilitiesCurrent,13
EmployeeRelatedLiabilitiesCurrent,12
AdditionalPaidInCapital,12
DeferredTaxAssetsNetCurrent,12
DeferredTaxLiabilitiesNoncurrent,10
DeferredRevenueCurrent,9
AccruedIncomeTaxesCurrent,9
DeferredTaxAssetsNetNoncurrent,8
ShortTermBorrowings,8
DebtCurrent,7
ReceivablesNetCurrent,7
PrepaidExpenseAndOtherAssetsCurrent,7
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,6
LongTermDebtCurrent,6
PrepaidExpenseCurrent,5
AvailableForSaleSecuritiesCurrent,5
PropertyPlantAndEquipmentGross,5
LiabilitiesNoncurrent,4
OtherAccruedLiabilitiesCurrent,4
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,4
OtherAssets,4
OtherLiabilities,4
LongTermDebtAndCapitalLeaseObligations,4
LongTermInvestments,4
ShortTermInvestments,3
DeferredRevenueNoncurrent,3
AccountsPayableAndAccruedLiabilitiesCurrent,3
OtherReceivables,3
FiniteLivedIntangibleAssetsNet,3
TaxesPayableCurrent,3
AvailableForSaleSecurities,3
LoansAndLeasesReceivableNetReportedAmount,3
InventoryRawMaterialsAndSupplies,2
SeniorLongTermNotes,2
AssetsNoncurrent,2
RestrictedCashAndCashEquivalentsNoncurrent,2
UnsecuredDebt,2
PreferredStockValueOutstanding,2
AssetRetirementObligationsNoncurrent,2
MarketableSecuritiesCurrent,2
LineOfCredit,2
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,2
RealEstateInvestmentPropertyAccumulatedDepreciation,2
CustomerDepositsCurrent,2
AccruedIncomeTaxesNoncurrent,2
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,2
AvailableForSaleSecuritiesDebtSecuritiesCurrent,2
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,2
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,2
RestrictedCashAndCashEquivalentsAtCarryingValue,2
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,2
Deposits,2
InvestmentBuildingAndBuildingImprovements,2
RealEstateInvestmentPropertyNet,2
AccountsReceivableNet,2
