,0
NetCashProvidedByUsedInOperatingActivities,40
NetCashProvidedByUsedInFinancingActivities,40
CashAndCashEquivalentsPeriodIncreaseDecrease,39
NetCashProvidedByUsedInInvestingActivities,35
ShareBasedCompensation,34
PaymentsForRepurchaseOfCommonStock,33
PaymentsToAcquireBusinessesNetOfCashAcquired,29
EffectOfExchangeRateOnCashAndCashEquivalents,28
PaymentsToAcquirePropertyPlantAndEquipment,27
DeferredIncomeTaxExpenseBenefit,25
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,25
IncreaseDecreaseInAccountsReceivable,23
ProfitLoss,22
ProceedsFromIssuanceOfLongTermDebt,21
IncreaseDecreaseInInventories,21
IncreaseDecreaseInAccountsPayable,20
RepaymentsOfLongTermDebt,18
PaymentsForProceedsFromOtherInvestingActivities,18
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,18
ProceedsFromPaymentsForOtherFinancingActivities,17
OtherNoncashIncomeExpense,17
NetIncomeLoss,17
IncreaseDecreaseInOtherOperatingAssets,16
DepreciationAndAmortization,15
IncreaseDecreaseInOtherOperatingCapitalNet,14
PaymentsOfDividendsCommonStock,14
IncreaseDecreaseInOtherOperatingLiabilities,13
ProceedsFromSaleOfPropertyPlantAndEquipment,13
DepreciationDepletionAndAmortization,13
PaymentsOfDividends,12
ProceedsFromIssuanceOfCommonStock,12
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,12
IncreaseDecreaseInReceivables,12
ProvisionForDoubtfulAccounts,11
PaymentsToAcquireInvestments,11
PaymentsToAcquireProductiveAssets,10
ProceedsFromStockOptionsExercised,10
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,10
IncreaseDecreaseInAccruedIncomeTaxesPayable,10
Depreciation,9
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,9
IncreaseDecreaseInRestrictedCash,9
ProceedsFromRepaymentsOfShortTermDebt,8
AmortizationOfIntangibleAssets,8
IncreaseDecreaseInAccruedLiabilities,8
ProceedsFromSaleMaturityAndCollectionsOfInvestments,8
