official stmt,Field,depth
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LongTermNotesPayable,8
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",SeniorLongTermNotes,8
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",ConvertibleLongTermNotesPayable,8
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AvailableForSaleSecuritiesDebtSecuritiesCurrent,7
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LongTermDebtCurrent,7
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AvailableForSaleSecuritiesDebtSecuritiesCurrent,7
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,7
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AvailableForSaleSecuritiesCurrent,7
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AvailableForSaleSecuritiesNoncurrent,7
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",EquityMethodInvestments,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",OtherShortTermBorrowings,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DeferredRevenueNoncurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",BankOverdrafts,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",CommercialPaper,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",TaxesPayableCurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AssetRetirementObligationsNoncurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",MarketableSecuritiesCurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",MarketableSecuritiesCurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LandAndLandImprovements,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",Land,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",ShortTermBankLoansAndNotesPayable,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",OtherLongTermDebtNoncurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LongTermDebtAndCapitalLeaseObligationsCurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",CapitalLeaseObligationsCurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",NotesAndLoansReceivableNetCurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",ShortTermBorrowings,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DefinedBenefitPensionPlanLiabilitiesNoncurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LongTermDebtNoncurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DerivativeLiabilitiesNoncurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccountsReceivableNetCurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",OtherDeferredCreditsNoncurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccruedIncomeTaxesCurrent,6
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",RetainedEarningsAccumulatedDeficit,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",RetainedEarningsAccumulatedDeficit,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccumulatedOtherComprehensiveIncomeLossNetOfTax,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccumulatedOtherComprehensiveIncomeLossNetOfTax,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",CashAndCashEquivalentsAtCarryingValue,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccumulatedOtherComprehensiveIncomeLossNetOfTax,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccountsPayableCurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccruedIncomeTaxesNoncurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DebtCurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",OtherLiabilitiesNoncurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",TreasuryStockValue,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",FiniteLivedIntangibleAssetsNet,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccountsPayableAndAccruedLiabilitiesCurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AdditionalPaidInCapitalCommonStock,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccruedLiabilitiesCurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",ShortTermInvestments,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LongTermInvestments,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LongTermDebtAndCapitalLeaseObligations,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",PropertyPlantAndEquipmentGross,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",EmployeeRelatedLiabilitiesCurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AdditionalPaidInCapital,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DeferredTaxLiabilitiesNoncurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DeferredRevenueCurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",CapitalLeasedAssetsGross,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",RestrictedCashAndCashEquivalentsAtCarryingValue,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",BuildingsAndImprovementsGross,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DeferredRevenueAndCreditsCurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DerivativeLiabilitiesCurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DeferredCompensationLiabilityClassifiedNoncurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",MembersEquity,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",RestrictedCashAndInvestmentsCurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",OffMarketLeaseUnfavorable,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccruedEnvironmentalLossContingenciesNoncurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",CashEquivalentsAtCarryingValue,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LeaseholdImprovementsGross,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",RetainedEarningsAppropriated,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",RegulatoryLiabilityNoncurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",CapitalLeaseObligationsNoncurrent,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,5
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",IntangibleAssetsNetExcludingGoodwill,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DeferredCompensationEquity,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",OtherLiabilitiesCurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",PreferredStockValue,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",RestrictedCashAndCashEquivalentsNoncurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",CommonStockValueOutstanding,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DueToRelatedPartiesCurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",InventoryNet,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",OtherPrepaidExpenseCurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",RetainedEarningsAccumulatedDeficit,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",InventoryFinishedGoods,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DecommissioningFundInvestments,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",InventoryNoncurrent,4
