,0
0,MMM
1,ABT
2,ABBV
3,ACN
4,ATVI
5,AYI
6,ADBE
7,AAP
8,AES
9,AET
10,AMG
11,AFL
12,A
14,AKAM
15,ALK
16,ALB
17,AA
18,ALXN
19,ALLE
20,AGN
22,LNT
23,ALL
24,GOOGL
25,GOOG
26,MO
27,AMZN
28,AEE
29,AAL
30,AEP
32,AIG
33,AMT
34,AWK
35,AMP
36,ABC
37,AME
38,AMGN
39,APH
40,APC
41,ADI
42,ANTM
44,APA
45,AIV
46,AAPL
47,AMAT
48,ADM
49,AJG
50,AIZ
51,T
52,ADSK
53,ADP
54,AN
55,AZO
56,AVGO
57,AVB
61,BAC
62,BCR
63,BAX
64,BBT
65,BDX
66,BBBY
67,BRK-B
68,BBY
70,BLK
71,HRB
73,BWA
74,BXP
75,BSX
76,BMY
77,BF-B
79,CA
80,COG
81,CPB
82,COF
84,KMX
85,CCL
86,CAT
87,CBG
88,CBS
89,CELG
90,CNC
91,CNP
92,CTL
93,CERN
94,CF
95,SCHW
96,CHK
97,CVX
98,CMG
99,CB
100,CHD
101,CI
102,XEC
103,CINF
104,CTAS
105,CSCO
106,C
107,CFG
108,CTXS
109,CME
110,CMS
111,COH
112,CTSH
114,CMCSA
115,CMA
116,CAG
118,COP
120,STZ
121,GLW
122,COST
123,CCI
124,CSRA
125,CSX
126,CMI
127,CVS
128,DHI
129,DHR
130,DRI
131,DVA
132,DE
134,DAL
135,XRAY
136,DVN
137,DO
138,DLR
139,DFS
140,DISCA
141,DISCK
142,DG
143,DLTR
145,DOV
146,DOW
147,DPS
148,DTE
149,DD
150,DUK
151,DNB
153,EMN
155,EBAY
156,ECL
157,EIX
158,EW
159,EA
160,EMC
161,EMR
162,ENDP
163,ETR
164,EOG
165,EQT
166,EFX
167,EQIX
168,EQR
170,EL
171,ES
172,EXC
173,EXPE
175,ESRX
176,EXR
177,XOM
178,FFIV
179,FB
180,FAST
181,FRT
182,FDX
183,FIS
184,FITB
185,FSLR
186,FE
187,FISV
188,FLIR
190,FLR
191,FMC
192,FTI
193,FL
194,F
196,FBHS
198,FCX
199,FTR
200,GPS
201,GRMN
202,GD
204,GGP
205,GIS
206,GM
208,GILD
209,GPN
210,GS
211,GT
214,HBI
215,HOG
216,HAR
217,HRS
218,HIG
219,HAS
220,HCA
222,HP
223,HSIC
224,HES
226,HOLX
227,HD
228,HON
229,HRL
231,HPQ
233,HBAN
234,ITW
235,ILMN
236,IR
237,INTC
238,ICE
239,IBM
240,IP
241,IPG
242,IFF
244,ISRG
245,IVZ
246,IRM
247,JBHT
250,JCI
251,JPM
252,JNPR
253,KSU
254,K
255,KEY
256,KMB
257,KIM
258,KMI
259,KLAC
260,KSS
262,KR
263,LB
264,LLL
266,LRCX
267,LM
268,LEG
269,LEN
270,LUK
271,LVLT
272,LLY
273,LNC
274,LLTC
275,LKQ
276,LMT
277,L
278,LOW
279,LYB
280,MTB
281,MAC
282,M
283,MNK
284,MRO
285,MPC
286,MAR
287,MMC
288,MLM
289,MAS
290,MA
291,MAT
292,MKC
293,MCD
295,MJN
296,MDT
297,MRK
298,MET
299,KORS
300,MCHP
301,MU
302,MSFT
303,MHK
304,TAP
305,MDLZ
306,MON
307,MNST
308,MCO
309,MS
310,MSI
311,MUR
312,MYL
313,NDAQ
314,NOV
315,NAVI
316,NTAP
317,NFLX
318,NWL
319,NFX
320,NEM
321,NWSA
322,NWS
323,NEE
324,NLSN
325,NKE
326,NI
327,NBL
328,JWN
329,NSC
330,NTRS
332,NRG
333,NUE
334,NVDA
335,ORLY
336,OXY
337,OMC
338,OKE
339,ORCL
340,OI
341,PCAR
342,PH
343,PDCO
344,PAYX
345,PYPL
346,PNR
347,PBCT
348,PEP
350,PRGO
351,PFE
352,PCG
353,PM
354,PSX
355,PNW
356,PXD
357,PBI
358,PNC
359,RL
360,PPG
361,PPL
362,PX
363,PCLN
364,PFG
366,PGR
367,PLD
368,PRU
369,PEG
370,PSA
371,PHM
372,PVH
373,QRVO
374,QCOM
375,PWR
376,DGX
377,RRC
378,RTN
379,O
381,REGN
382,RF
383,RSG
384,RAI
385,RHI
386,ROK
387,COL
388,ROP
389,ROST
390,RCL
391,R
392,SPGI
393,CRM
395,SLB
396,SNI
397,STX
398,SEE
399,SRE
400,SHW
401,SIG
402,SPG
403,SWKS
404,SLG
405,SJM
406,SNA
407,SO
408,LUV
409,SWN
410,SE
411,STJ
412,SWK
413,SPLS
414,SBUX
415,HOT
416,STT
417,SRCL
418,SYK
419,STI
420,SYMC
421,SYF
422,SYY
423,TROW
424,TGT
425,TEL
426,TGNA
427,TDC
428,TSO
429,TXN
430,TXT
431,BK
432,CLX
433,KO
434,HSY
435,MOS
437,DIS
438,TMO
439,TIF
440,TWX
441,TJX
442,TMK
443,TSS
445,TDG
446,RIG
448,FOXA
449,FOX
450,TYC
451,TSN
452,USB
453,UDR
454,ULTA
455,UA
456,UNP
457,UAL
458,UNH
459,UPS
460,URI
461,UTX
462,UHS
463,UNM
464,URBN
465,VFC
466,VLO
467,VAR
468,VTR
469,VRSN
471,VZ
472,VRTX
473,VIAB
474,V
475,VNO
477,WMT
478,WBA
479,WM
480,WAT
481,WFC
482,HCN
484,WU
485,WRK
486,WY
487,WHR
488,WFM
489,WMB
490,WLTW
491,WEC
492,WYN
493,WYNN
494,XEL
496,XLNX
497,XL
498,XYL
499,YHOO
500,YUM
501,ZBH
502,ZION
504,SPY
